DATE,ITUB3,ITUB4,BBDC4,IBOV,IBX50
12/29/2005,7.2,9.12,7.46,33455.94,4823.41
1/2/2006,7.22,9.14,7.46,33507.27,4869.75
1/3/2006,7.59,9.39,7.78,34540.58,5020.18
1/4/2006,7.51,9.66,7.97,35002.37,5096.95
1/5/2006,7.66,9.6,7.9,34936.11,5087.31
1/6/2006,7.82,9.94,8.01,35475.02,5190.06
1/9/2006,7.84,9.87,7.99,35337.33,5170.57
1/10/2006,7.86,9.89,7.94,35049.42,5150.48
1/11/2006,7.82,10.02,8.18,35952.24,5289.78
1/12/2006,7.89,9.97,8.14,35779.3,5289.9
1/13/2006,7.95,10.04,8.25,35897.12,5306.35
1/16/2006,7.97,10.1,8.41,36533.68,5404.79
1/17/2006,7.97,10.06,8.43,36119.37,5339.21
1/18/2006,7.97,9.91,8.24,35805.19,5283.48
1/19/2006,8.35,10.39,8.58,36858.19,5456.89
1/20/2006,8.4,10.33,8.53,36694.65,5425.86
1/23/2006,8.44,10.18,8.56,36631.75,5413.85
1/24/2006,8.44,10.37,9,37399.67,5539.08
1/26/2006,8.58,10.7,9.2,38014.36,5620.52
1/27/2006,8.74,10.54,9.26,37822.22,5595.03
1/30/2006,8.74,10.58,9.64,38242.04,5676.52
1/31/2006,8.66,10.89,9.59,38382.8,5727.07
2/1/2006,8.74,11.12,9.62,38484.84,5732.3
2/2/2006,8.66,10.87,9.29,37304.19,5546.76
2/3/2006,8.62,10.51,9.14,37261.73,5495.6
2/6/2006,8.59,10.65,9.08,37321.2,5535.99
2/7/2006,8.3,10.4,8.82,36561.7,5389.08
2/8/2006,8.36,10.54,8.75,36499.41,5357.89
2/9/2006,8.59,10.87,8.97,36882.31,5408.04
2/10/2006,8.82,11.11,9.28,36975.27,5398.25
2/13/2006,8.82,11.03,8.98,36113.95,5286.7
2/14/2006,8.74,10.89,8.95,36626.88,5317.95
2/15/2006,8.89,11.08,9.12,37239.3,5394.38
2/16/2006,9.2,11.64,9.78,38256.39,5566.34
2/17/2006,9.2,11.47,9.72,38421.83,5589.77
2/20/2006,9.51,11.67,9.59,38539.18,5618.43
2/21/2006,9.35,11.47,9.94,38165.97,5593.89
2/22/2006,9.2,11.32,9.68,38246.4,5575.03
2/23/2006,9,11.19,9.35,38405.48,5591.94
2/24/2006,8.97,11.14,9.66,38610.39,5637.74
3/1/2006,9.2,11.5,10.06,39177.87,5711.69
3/2/2006,9.17,11.34,9.98,39125.84,5689.11
3/3/2006,9.2,11.4,9.93,39239.75,5707.53
3/6/2006,9.18,11.11,9.62,38353.98,5580.94
3/7/2006,8.89,10.92,9.35,37422.58,5415.95
3/8/2006,8.71,10.67,9.09,37289.08,5380.6
3/9/2006,8.56,10.34,8.84,36312.27,5237.48
3/10/2006,8.71,10.6,9.01,36890.69,5301.88
3/13/2006,9.16,11.03,9.09,36792.98,5334.62
3/14/2006,9.1,11.26,9.25,37541.49,5451.46
3/15/2006,9.26,11.36,9.4,38243.99,5549.25
3/16/2006,9.26,11.35,9.53,38156.64,5551.39
3/17/2006,9.31,11.39,9.57,38049.17,5534.3
3/20/2006,9.32,11.36,9.5,38203.53,5561.75
3/21/2006,9.18,11.08,9.23,37398.01,5451.8
3/22/2006,9.32,11.52,9.33,37850.59,5495.84
3/23/2006,9.18,11.31,9.23,37473.85,5456.15
3/24/2006,9.22,11.38,9.14,37577.05,5471.64
3/27/2006,8.96,11.06,8.95,37641.06,5473.92
3/28/2006,8.76,10.83,8.72,36682.21,5362.25
3/29/2006,8.71,10.8,8.8,37491.57,5470.59
3/30/2006,8.63,10.75,8.66,37776.76,5495.93
3/31/2006,8.63,10.51,8.58,37951.97,5478.12
4/3/2006,8.83,10.95,8.75,38717.07,5603.7
4/4/2006,8.9,11.13,8.8,38802.26,5615.38
4/5/2006,9.06,11.25,8.88,39053.2,5660.41
4/6/2006,9.13,11.2,8.88,39285.04,5687.92
4/7/2006,9.02,11.03,8.77,38926.49,5642.39
4/10/2006,8.75,10.71,8.55,38474.73,5579.16
4/11/2006,8.56,10.56,8.38,37901.19,5488.43
4/12/2006,8.56,10.42,8.35,38427.41,5513.9
4/13/2006,8.4,10.35,8.31,38082.13,5489.56
4/17/2006,8.54,10.45,8.3,38462.48,5552.63
4/18/2006,8.64,10.61,8.48,39572.47,5727.91
4/19/2006,8.67,10.8,8.8,39937.74,5793.47
4/20/2006,8.56,10.71,9.08,39774.59,5785.56
4/24/2006,8.68,10.63,8.99,39751.3,5771.25
4/25/2006,8.64,10.66,8.91,39738.07,5777.43
4/26/2006,8.68,10.92,9,40410.06,5846.41
4/27/2006,8.62,10.71,8.92,39751.44,5732.43
4/28/2006,8.82,10.81,8.82,40363.42,5790.66
5/2/2006,9.08,11.25,8.83,41016.58,5921.87
5/3/2006,9.11,11.34,8.88,40919.76,5907.75
5/4/2006,9.19,11.49,8.92,40975.78,5921.69
5/5/2006,9.42,11.81,8.98,41417.27,6021.5
5/8/2006,9.73,12.1,9.1,41515.49,6056.56
